turbine,sensor,time_stamp,name,component,characteristic,target_frequency_hz,amplitude
data-WTG515,6,1459074600000,1459080000000_1459074600000_21600_LPC.06.0AR1K.64.cms,GBX-Out_Pinion,GMF1x,127.83545121347201,0.0003691525104882527
data-WTG515,6,1459074600000,1459080000000_1459074600000_21600_LPC.06.0AR1K.64.cms,GBX-Out_Pinion,GMF2x,255.67090242694402,0.00043874000691837724
data-WTG515,6,1454800500000,1454803200000_1454800500000_21600_LPC.06.0AR1K.64.cms,GBX_OUT_BRG1,BPFO,386.073423922734,0.00028348082654172673
data-WTG515,6,1454800500000,1454803200000_1454800500000_21600_LPC.06.0AR1K.64.cms,GBX_OUT_BRG1,BPFI,434.56573803863296,0.0001966880436700163
data-WTG515,6,1454800500000,1454803200000_1454800500000_21600_LPC.06.0AR1K.64.cms,GBX_OUT_BRG1,FTF,7.460356017830609,0.0011607183077112667
data-WTG515,6,1454800500000,1454803200000_1454800500000_21600_LPC.06.0AR1K.64.cms,GBX_OUT_BRG1,BSF2,289.0887956909361,0.0002927852380398524
data-WTG515,6,1454800500000,1454803200000_1454800500000_21600_LPC.06.0AR1K.64.cms,GBX-Out_Pinion,GMF1x,820.6391619613669,0.0013756894587255808
data-WTG515,6,1454800500000,1454803200000_1454800500000_21600_LPC.06.0AR1K.64.cms,GBX-Out_Pinion,GMF2x,1641.2783239227338,
data-WTG515,6,1454841900000,1454846400000_1454841900000_21600_LPC.06.0AR1K.64.cms,GBX_OUT_BRG1,BPFO,307.34096879643386,0.0002992264399189917
data-WTG515,6,1454841900000,1454846400000_1454841900000_21600_LPC.06.0AR1K.64.cms,GBX_OUT_BRG1,BPFI,345.94418226844977,0.0020917275702437396
data-WTG515,6,1454841900000,1454846400000_1454841900000_21600_LPC.06.0AR1K.64.cms,GBX_OUT_BRG1,FTF,5.938955918771669,0.00024194058692691726
data-WTG515,6,1454841900000,1454846400000_1454841900000_21600_LPC.06.0AR1K.64.cms,GBX_OUT_BRG1,BSF2,230.13454185240218,0.000792965315933966
data-WTG515,6,1454841900000,1454846400000_1454841900000_21600_LPC.06.0AR1K.64.cms,GBX-Out_Pinion,GMF1x,653.2851510648836,0.00021620054897419054
data-WTG515,6,1454841900000,1454846400000_1454841900000_21600_LPC.06.0AR1K.64.cms,GBX-Out_Pinion,GMF2x,1306.5703021297672,
data-WTG515,6,1454932800000,1454932800000_1454932800000_21600_LPC.06.0AR1K.64.cms,GBX_OUT_BRG1,BPFO,254.20396114413074,0.0008776716840922415
data-WTG515,6,1454932800000,1454932800000_1454932800000_21600_LPC.06.0AR1K.64.cms,GBX_OUT_BRG1,BPFI,286.1329610946013,0.0002311809224875858
data-WTG515,6,1454932800000,1454932800000_1454932800000_21600_LPC.06.0AR1K.64.cms,GBX_OUT_BRG1,FTF,4.9121538385339285,0.00016323580371786564
data-WTG515,6,1454932800000,1454932800000_1454932800000_21600_LPC.06.0AR1K.64.cms,GBX_OUT_BRG1,BSF2,190.3459612431897,0.00042266777956241516
data-WTG515,6,1454932800000,1454932800000_1454932800000_21600_LPC.06.0AR1K.64.cms,GBX-Out_Pinion,GMF1x,540.3369222387321,0.0013580970283000315
data-WTG515,6,1454932800000,1454932800000_1454932800000_21600_LPC.06.0AR1K.64.cms,GBX-Out_Pinion,GMF2x,1080.6738444774642,0.0007662091941539359
data-WTG515,6,1459058400000,1459058400000_1459058400000_21600_LPC.06.0AR1K.64.cms,GBX_OUT_BRG1,BPFO,257.63202570579494,0.0009359988059129794
data-WTG515,6,1459058400000,1459058400000_1459058400000_21600_LPC.06.0AR1K.64.cms,GBX_OUT_BRG1,BPFI,289.9916038137692,0.000333237726899915
data-WTG515,6,1459058400000,1459058400000_1459058400000_21600_LPC.06.0AR1K.64.cms,GBX_OUT_BRG1,FTF,4.978396631996038,0.00012076978194307895
data-WTG515,6,1459058400000,1459058400000_1459058400000_21600_LPC.06.0AR1K.64.cms,GBX_OUT_BRG1,BSF2,192.91286948984646,0.00033548248510947663
